code,icao,ident,name,city,state,lat,lon,type,runways
LSN,KLSN,KLSN,Los Banos Municipal Airport,Los Banos,CA,37.06290054,-120.8690033,small_airport,1.0
DXE,KMBO,KMBO,Bruce Campbell Field,Madison,MS,32.438702,-90.103104,small_airport,1.0
LSK,KLSK,KLSK,Lusk Municipal Airport,Lusk,WY,42.7537994385,-104.404998779,small_airport,1.0
MBY,KMBY,KMBY,Omar N Bradley Airport,Moberly,MO,39.464393,-92.428365,small_airport,2.0
MDD,KMDD,KMDD,Midland Airpark,Midland,TX,32.0364990234,-102.100997925,small_airport,2.0
MJQ,KMJQ,KMJQ,Jackson Municipal Airport,Jackson,MN,43.650002,-94.986504,small_airport,1.0
MIW,KMIW,KMIW,Marshalltown Municipal Airport,Marshalltown,IA,42.112701,-92.917801,small_airport,1.0
MIT,KMIT,KMIT,Shafter Airport - Minter Field,Shafter,CA,35.507401,-119.192002,small_airport,1.0
MIO,KMIO,KMIO,Miami Municipal Airport,Miami,OK,36.909199,-94.887497,small_airport,1.0
MIC,KMIC,KMIC,Crystal Airport,Minneapolis,MN,45.062,-93.353897,small_airport,1.0
MHL,KMHL,KMHL,Marshall Memorial Municipal Airport,Marshall,MO,39.0957984924,-93.2029037476,small_airport,2.0
MHE,KMHE,KMHE,Mitchell Municipal Airport,Mitchell,SD,43.7747993469,-98.0385971069,small_airport,2.0
MGY,KMGY,KMGY,Dayton-Wright Brothers Airport,Dayton,OH,39.5890007019,-84.224899292,small_airport,1.0
MGR,KMGR,KMGR,Moultrie Municipal Airport,Moultrie,GA,31.0848999023,-83.8032989502,small_airport,2.0
MGJ,KMGJ,KMGJ,Orange County Airport,Montgomery,NY,41.50999832,-74.26460266,small_airport,2.0
MFV,KMFV,KMFV,Accomack County Airport,Melfa,VA,37.646900177,-75.761100769,small_airport,1.0
MFI,KMFI,KMFI,Marshfield Municipal Airport,Marshfield,WI,44.6369018555,-90.1893005371,small_airport,2.0
UMZ,KMEZ,KMEZ,Mena Intermountain Municipal Airport,Mena,AR,34.545399,-94.202698,small_airport,2.0
MEV,KMEV,KMEV,Minden-Tahoe Airport,Minden,NV,39.00030136,-119.7509995,small_airport,2.0
MXE,KMEB,KMEB,Laurinburg Maxton Airport,Maxton,NC,34.791901,-79.365799,small_airport,2.0
MDF,KMDZ,KMDZ,Taylor County Airport,Medford,WI,45.10100174,-90.30329895,small_airport,2.0
XMD,KMDS,KMDS,Madison Municipal Airport,Madison,SD,44.01599884,-97.08589935,small_airport,1.0
MCD,KMCD,KMCD,Mackinac Island Airport,Mackinac Island,MI,45.86489868,-84.63729858,small_airport,1.0
CZC,Z93,Z93,Copper Center 2 Airport,Copper Center,AK,61.943713,-145.299398,small_airport,
LRJ,KLRJ,KLRJ,Le Mars Municipal Airport,Le Mars,IA,42.77799988,-96.1937027,small_airport,1.0
LQK,KLQK,KLQK,Pickens County Airport,Pickens,SC,34.8100013733,-82.70290374759999,small_airport,1.0
LDJ,KLDJ,KLDJ,Linden Airport,Linden,NJ,40.617401123,-74.2445983887,small_airport,1.0
LCQ,KLCQ,KLCQ,Lake City Gateway Airport,Lake City,FL,30.181999,-82.576897,small_airport,2.0
LCI,KLCI,KLCI,Laconia Municipal Airport,Laconia / Gilford,NH,43.572701,-71.4189,small_airport,1.0
LAM,KLAM,KLAM,Los Alamos Airport,Los Alamos,NM,35.8797988892,-106.268997192,small_airport,1.0
TRH,L72,KL72,Trona Airport,Trona,CA,35.8125,-117.327003479,small_airport,1.0
MYH,KL41,KL41,Marble Canyon Airport,Marble Canyon,AZ,36.8125,-111.647003,small_airport,1.0
RBF,KL35,KL35,Big Bear City Airport,Big Bear,CA,34.263802,-116.856003,small_airport,1.0
BXS,L08,KL08,Borrego Valley Airport,Borrego Springs,CA,33.2589988708,-116.320999146,small_airport,1.0
DTH,KL06,KL06,Furnace Creek Airport,Death Valley,CA,36.463799,-116.880997,small_airport,1.0
KKU,KKU,KKU,Ekuk Airport,Ekuk,AK,58.8111991882,-158.559005737,small_airport,
KNB,KKNB,KKNB,Kanab Municipal Airport,Kanab,UT,37.011101,-112.530998,small_airport,1.0
KIC,KKIC,KKIC,Mesa Del Rey Airport,King City,CA,36.2280006409,-121.122001648,small_airport,1.0
OSB,K15,KK15,Grand Glaize Osage Beach Airport,Osage Beach,MO,38.1105,-92.680496,small_airport,1.0
JVL,KJVL,KJVL,Southern Wisconsin Regional Airport,Janesville,WI,42.620300293,-89.0416030884,small_airport,3.0
JKV,KJSO,KJSO,Cherokee County Airport,Jacksonville,TX,31.8693008423,-95.2173995972,small_airport,1.0
JOT,KJOT,KJOT,Joliet Regional Airport,Joliet,IL,41.51779938,-88.17549896,small_airport,
GUF,KJKA,KJKA,Jack Edwards National Airport,Gulf Shores,AL,30.290501,-87.671799,small_airport,2.0
LDM,KLDM,KLDM,Mason County Airport,Ludington,MI,43.96250153,-86.40789795,small_airport,2.0
LEM,KLEM,KLEM,Lemmon Municipal Airport,Lemmon,SD,45.9187011719,-102.106002808,small_airport,1.0
LEW,KLEW,KLEW,Auburn Lewiston Municipal Airport,Auburn/Lewiston,ME,44.048500061,-70.2835006714,small_airport,1.0
LGC,KLGC,KLGC,LaGrange Callaway Airport,LaGrange,GA,33.008873,-85.074331,small_airport,2.0
LPC,KLPC,KLPC,Lompoc Airport,Lompoc,CA,34.665599823,-120.468002319,small_airport,1.0
LOT,KLOT,KLOT,Lewis University Airport,Chicago/Romeoville,IL,41.6073,-88.096199,small_airport,2.0
BBX,KLOM,KLOM,Wings Field,Philadelphia,PA,40.1375007629,-75.2650985718,small_airport,1.0
LNR,KLNR,KLNR,Tri-County Regional Airport,Spring Green,WI,43.2099,-90.181332,small_airport,1.0
LNP,KLNP,KLNP,Lonesome Pine Airport,Wise,VA,36.9874992371,-82.5299987793,small_airport,1.0
LNN,KLNN,KLNN,Lake County Executive Airport,Willoughby,OH,41.683998,-81.389702,small_airport,2.0
ELA,KELA,KELA,Eagle Lake Airport,Eagle Lake,TX,29.600599288900003,-96.3218994141,small_airport,1.0
LMS,KLMS,KLMS,Louisville Winston County Airport,Louisville,MS,33.1461982727,-89.0625,small_airport,1.0
MJX,KMJX,KMJX,Ocean County Airport,Toms River,NJ,39.92750168,-74.29239655,small_airport,2.0
CHL,KLLJ,KLLJ,Challis Airport,Challis,ID,44.522999,-114.218002,small_airport,1.0
LOW,KLKU,KLKU,Louisa County Airport / Freeman Field,Louisa,VA,38.0098,-77.9701,small_airport,1.0
LKP,KLKP,KLKP,Lake Placid Airport,Lake Placid,NY,44.2644996643,-73.96189880370001,small_airport,1.0
LIC,KLIC,KLIC,Limon Municipal Airport,Limon,CO,39.2747993469,-103.666000366,small_airport,1.0
LFN,KLHZ,KLHZ,Triangle North Executive Airport,Louisburg,NC,36.0233,-78.330299,small_airport,1.0
LIY,KLHW,KLHW,MidCoast Regional Airport at Wright Army Airfield,Hinesville,GA,31.891237,-81.561003,small_airport,2.0
LHV,KLHV,KLHV,William T. Piper Memorial Airport,Lock Haven,PA,41.13560104,-77.42230225,small_airport,1.0
LGF,KLGF,KLGF,Laguna Army Airfield,Yuma Proving Ground(Yuma),AZ,32.860794,-114.39615,small_airport,2.0
LGD,KLGD,KLGD,La Grande/Union County Airport,La Grande,OR,45.2901992798,-118.007003784,small_airport,2.0
LKV,KLKV,KLKV,Lake County Airport,Lakeview,OR,42.1610984802,-120.399002075,small_airport,1.0
MKO,KMKO,KMKO,Muskogee-Davis Regional Airport,Muskogee,OK,35.656502,-95.366699,small_airport,2.0
MKT,KMKT,KMKT,Mankato Regional Airport,Mankato,MN,44.224781,-93.919128,small_airport,2.0
MRK,KMKY,KMKY,Marco Island Executive Airport,Marco Island,FL,25.995001,-81.672501,small_airport,1.0
OCF,KOCF,KOCF,Ocala International Airport - Jim Taylor Field,Ocala,FL,29.17259979,-82.22419739,small_airport,2.0
OBE,KOBE,KOBE,Okeechobee County Airport,Okeechobee,FL,27.262800216699997,-80.8498001099,small_airport,2.0
OAR,KOAR,KOAR,Marina Municipal Airport,Marina,CA,36.68190002,-121.762001,small_airport,1.0
EYR,O43,KO43,Yerington Municipal Airport,Yerington,NV,39.0041007996,-119.157997131,small_airport,1.0
ODC,O27,KO27,Oakdale Airport,Oakdale,CA,37.75630188,-120.8000031,small_airport,1.0
COA,O22,KO22,Columbia Airport,Columbia,CA,38.0303993225,-120.415000916,small_airport,1.0
NVN,KO02,KO02,Nervino Airport,Beckwourth,CA,39.818501,-120.352997,small_airport,1.0
NVD,KNVD,KNVD,Nevada Municipal Airport,Nevada,MO,37.8521,-94.304901,small_airport,1.0
